エピソード,ランダム率,平均報酬,直近成功率,最良経路長,手数
1,1,-13.6,0,経路未発見,28
2,0.9995,-22.96,0,経路未発見,97
3,0.999,-21.9467,0,経路未発見,34
4,0.9985,-29.17,0,経路未発見,144
5,0.998,-24.952,0,経路未発見,4
6,0.9975,-22.4333,0,経路未発見,10
7,0.997,-29.2457,0,経路未発見,303
8,0.9965,-33.69,0,経路未発見,207
9,0.996,-34.2711,0,経路未発見,112
10,0.9955,-37.988,0,経路未発見,258
11,0.995,-39.0654,0,経路未発見,136
12,0.9945,-36.65,0,経路未発見,16
13,0.994,-35.1046,0,経路未発見,45
14,0.9935,-35.9142,0,経路未発見,167
15,0.993,-37.168,0,経路未発見,182
16,0.9925,-39.4225,0,経路未発見,210
17,0.992,-39.7976,0,経路未発見,161
18,0.9915,-41.1333,0,経路未発見,196
19,0.991,-40.7452,0,経路未発見,109
20,0.9905,-40.858,0,経路未発見,157
21,0.99,-39.6133,0,経路未発見,18
22,0.9896,-38.8945,0,経路未発見,67
23,0.9891,-38.8817,0,経路未発見,133
24,0.9886,-37.875,0,経路未発見,37
25,0.9881,-38.3504,0,経路未発見,115
26,0.9876,-37.623,0,経路未発見,41
27,0.9871,-36.72,0,経路未発見,21
28,0.9866,-35.8657,0,経路未発見,27
29,0.9861,-35.6013,0,経路未発見,91
30,0.9856,-34.8306,0,経路未発見,19
31,0.9851,-37.4226,0,経路未発見,352
32,0.9846,-38.4226,0,経路未発見,201
33,0.9841,-38.5266,0,経路未発見,93
34,0.9836,-37.2733,0,経路未発見,21
35,0.9831,-40.3586,0,経路未発見,342
36,0.9826,-40.8466,0,経路未発見,53
37,0.9822,-40.0453,0,経路未発見,151
38,0.9817,-38.5293,0,経路未発見,50
39,0.9812,-38.58,0,経路未発見,112
40,0.9807,-37.2133,0,経路未発見,71
41,0.9802,-36.148,0,経路未発見,42
42,0.9797,-38.288,0,経路未発見,217
43,0.9792,-39.7093,0,経路未発見,180
44,0.9787,-38.9693,0,経路未発見,66
45,0.9782,-37.8253,0,経路未発見,65
46,0.9777,-35.7333,0,経路未発見,7
47,0.9773,-34.8573,0,経路未発見,24
48,0.9768,-33.4667,0,経路未発見,82
49,0.9763,-32.7787,0,経路未発見,35
50,0.9758,-32.172,0,経路未発見,94
51,0.9753,-32.284,0,経路未発見,45
52,0.9748,-32.476,0,経路未発見,97
53,0.9743,-33.5866,0,経路未発見,308
54,0.9738,-34.128,0,経路未発見,77
55,0.9734,-36.1553,0,経路未発見,483
56,0.9729,-36.078,0,経路未発見,40
57,0.9724,-36.3247,0,経路未発見,71
58,0.9719,-37.3807,0,経路未発見,116
59,0.9714,-37.1633,0,経路未発見,59
60,0.9709,-37.1927,0,経路未発見,41
61,0.9704,-35.6087,0,経路未発見,171
62,0.97,-33.9793,0,経路未発見,24
63,0.9695,-33.7673,0,経路未発見,41
64,0.969,-34.0727,0,経路未発見,58
65,0.9685,-31.5273,0,経路未発見,50
66,0.968,-31.7193,0,経路未発見,64
67,0.9675,-30.9753,0,経路未発見,54
68,0.967,-31.7647,0,経路未発見,167
69,0.9666,-31.7567,0,経路未発見,163
70,0.9661,-31.538,0,経路未発見,69
71,0.9656,-31.878,0,経路未発見,86
72,0.9651,-30.33,0,経路未発見,80
73,0.9646,-31.8953,0,経路未発見,423
74,0.9642,-31.6073,0,経路未発見,21
75,0.9637,-31.2393,0,経路未発見,17
76,0.9632,-32.6967,0,経路未発見,181
77,0.9627,-32.5607,0,経路未発見,36
78,0.9622,-32.262,0,経路未発見,19
79,0.9617,-36.9047,0,経路未発見,483
80,0.9613,-36.3793,0,経路未発見,9
81,0.9608,-36.8207,0,経路未発見,122
82,0.9603,-36.3047,0,経路未発見,21
83,0.9598,-35.9233,0,経路未発見,212
84,0.9593,-36.094,0,経路未発見,115
85,0.9589,-35.0893,0,経路未発見,333
86,0.9584,-36.4427,0,経路未発見,221
87,0.9579,-37.1653,0,経路未発見,119
88,0.9574,-36.2133,0,経路未発見,29
89,0.9569,-35.8693,0,経路未発見,10
90,0.9565,-35.968,0,経路未発見,39
91,0.956,-34.8693,0,経路未発見,17
92,0.9555,-36.4213,0,経路未発見,191
93,0.955,-36.396,0,経路未発見,29
94,0.9546,-36.164,0,経路未発見,17
95,0.9541,-35.768,0,経路未発見,17
96,0.9536,-35.12,0,経路未発見,15
97,0.9531,-35.5493,0,経路未発見,110
98,0.9526,-34.904,0,経路未発見,72
99,0.9522,-37.4807,0,経路未発見,483
100,0.9517,-36.99,0,経路未発見,14
101,0.9512,-36.694,0,経路未発見,54
102,0.9507,-36.8113,0,経路未発見,92
103,0.9503,-34.4113,0,経路未発見,105
104,0.9498,-34.4953,0,経路未発見,29
105,0.9493,-34.846,0,経路未発見,54
106,0.9488,-33.522,0,経路未発見,31
107,0.9484,-33.306,0,経路未発見,7
108,0.9479,-33.7233,0,経路未発見,83
109,0.9474,-29.7407,0,経路未発見,95
110,0.9469,-29.8233,0,経路未発見,14
111,0.9465,-29.4087,0,経路未発見,46
112,0.946,-29.3767,0,経路未発見,35
113,0.9455,-27.9273,0,経路未発見,39
114,0.9451,-27.2847,0,経路未発見,51
115,0.9446,-25.1607,0,経路未発見,30
116,0.9441,-23.7113,0,経路未発見,44
117,0.9436,-23.2353,0,経路未発見,154
118,0.9432,-23.2753,0,経路未発見,40
119,0.9427,-23.4687,0,経路未発見,53
120,0.9422,-23.9513,0,経路未発見,78
121,0.9418,-24.206,0,経路未発見,58
122,0.9413,-22.6473,0,経路未発見,21
123,0.9408,-22.822,0,経路未発見,48
124,0.9403,-23.1073,0,経路未発見,60
125,0.9399,-24.75,0,経路未発見,204
126,0.9394,-25.526,0,経路未発見,98
127,0.9389,-25.0113,0,経路未発見,66
128,0.9385,-24.9887,0,経路未発見,53
129,0.938,-21.816,0,経路未発見,56
130,0.9375,-22.94,0,経路未発見,152
131,0.9371,-23.8413,0,経路未発見,160
132,0.9366,-26.378,0,経路未発見,483
133,0.9361,-26.626,0,経路未発見,139
134,0.9357,-27.5847,0,経路未発見,133
135,0.9352,-30.238,0,経路未発見,391
136,0.9347,-30.7927,0,経路未発見,105
137,0.9342,-35.5053,0,経路未発見,483
138,0.9338,-35.2227,0,経路未発見,42
139,0.9333,-34.6893,0,経路未発見,37
140,0.9328,-35.608,0,経路未発見,126
141,0.9324,-35.3853,0,経路未発見,14
142,0.9319,-35.8893,0,経路未発見,71
143,0.9315,-35.8147,0,経路未発見,21
144,0.931,-41.262,0,経路未発見,483
145,0.9305,-41.43,0,経路未発見,42
146,0.9301,-41.446,0,経路未発見,18
147,0.9296,-41.2047,0,経路未発見,37
148,0.9291,-42.566,0,経路未発見,203
149,0.9287,-42.4727,0,経路未発見,30
150,0.9282,-42.0607,0,経路未発見,47
151,0.9277,-41.9874,0,経路未発見,20
152,0.9273,-43.122,0,経路未発見,148
153,0.9268,-43.7527,0,経路未発見,120
154,0.9263,-45.474,0,経路未発見,371
155,0.9259,-44.3847,0,経路未発見,92
156,0.9254,-45.07,0,経路未発見,180
157,0.925,-44.926,0,経路未発見,34
158,0.9245,-44.5153,0,経路未発見,11
159,0.924,-44.3127,0,経路未発見,37
160,0.9236,-43.238,0,経路未発見,11
161,0.9231,-44.8213,0,経路未発見,483
162,0.9226,-41.63,0,経路未発見,21
163,0.9222,-41.1433,0,経路未発見,61
164,0.9217,-41.302,0,経路未発見,126
165,0.9213,-38.4887,0,経路未発見,29
166,0.9208,-38.7433,0,経路未発見,156
167,0.9203,-34.3893,0,経路未発見,50
168,0.9199,-35.0267,0,経路未発見,108
169,0.9194,-36.112,0,経路未発見,167
170,0.919,-35.1067,0,経路未発見,8
171,0.9185,-35.072,0,経路未発見,26
172,0.918,-37.978,0,経路未発見,483
173,0.9176,-38.6473,0,経路未発見,105
174,0.9171,-34.2867,0,経路未発見,146
175,0.9167,-34.2467,0,経路未発見,50
176,0.9162,-34.0547,0,経路未発見,7
